Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Element Code,Element,ISO Currency Code,Currency,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,,,,,,#date+year,,,#indicator+type,#indicator+value+num,
AND,2011-02-01,2011-02-28,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2011,2011,7002,February,,0.732657090838489,X
AND,2011-03-01,2011-03-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2011,2011,7003,March,,0.714327864066538,X
AND,2011-04-01,2011-04-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2011,2011,7004,April,,0.692434965779145,X
AND,2011-05-01,2011-05-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2011,2011,7005,May,,0.696930338644805,X
AND,2011-06-01,2011-06-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2011,2011,7006,June,,0.695003869907916,X
AND,2011-07-01,2011-07-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2011,2011,7007,July,,0.701051577366035,X
AND,2011-08-01,2011-08-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2011,2011,7008,August,,0.697193644019005,X
AND,2011-09-01,2011-09-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2011,2011,7009,September,,0.726216412490922,X
AND,2011-10-01,2011-10-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2011,2011,7010,October,,0.729589727376656,X
AND,2011-11-01,2011-11-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2011,2011,7011,November,,0.737695573155944,X
AND,2011-12-01,2011-12-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2011,2011,7012,December,,0.758780170544854,X
AND,2012-01-01,2012-12-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2012,2012,7021,Annual value,,0.778293601412852,X
AND,2012-01-01,2012-01-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2012,2012,7001,January,,0.774901640325860,X
AND,2012-02-01,2012-02-29,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2012,2012,7002,February,,0.756195400891604,X
AND,2012-03-01,2012-03-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2012,2012,7003,March,,0.757518369820468,X
AND,2012-04-01,2012-04-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2012,2012,7004,April,,0.759778144781739,X
